term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
intercept,-773.7669353533634,443.8328407874481,0.0812681887123543,-1643.6633184528614,96.12944774613482,9.85967654375977e-305,9.85967654375977e-305,5.6038784220018615e+41
C(VehBrand)[B10],0.018614824613197294,0.14464483850069204,0.8976003206350529,-0.2648838493977717,0.3021134986241663,1.0187891605249084,0.7672950665843522,1.3527147492599487
C(VehBrand)[B11],0.17383488474131517,0.13760378327512457,0.2064813201085305,-0.09586357461438402,0.4435333440970144,1.1898590857091416,0.9085879620769153,1.5582031712244329
C(VehBrand)[B12],-0.21866485606518468,0.08146179609093207,0.007268997746271655,-0.37832704251935734,-0.059002669611012054,0.8035909916753445,0.6850064377976316,0.9427042525000869
C(VehBrand)[B13],0.13712414304580106,0.19400777208542597,0.4796925374220915,-0.2431241029624891,0.5173723890540912,1.1469705280973002,0.7841741893925483,1.6776137369974762
C(VehBrand)[B14],-0.5911404932504369,0.15587956138182912,0.00014926449292573807,-0.8966588194847227,-0.2856221670161512,0.5536954385843572,0.40793035426299895,0.7515465213737631
C(VehBrand)[B2],-0.060055317010942286,0.06633897276755206,0.36531729472133545,-0.19007731440672776,0.06996668038484317,0.9417124394260992,0.8268952005600511,1.0724724462897055
C(VehBrand)[B3],0.019097314090283892,0.08256840467132322,0.8170888773009337,-0.14273378532643838,0.18092841350700617,1.0192808341783752,0.8669848422632637,1.198329392024005
C(VehBrand)[B4],0.1503363534696533,0.1508020554059202,0.31880730750939046,-0.14523024392056405,0.44590295085987064,1.1622250954356341,0.8648231499132352,1.5618998781379598
C(VehBrand)[B5],0.05596293725532451,0.10830332126022546,0.6053487633096175,-0.15630767182078853,0.26823354633143753,1.0575584869900636,0.8552959994074223,1.3076525018000762
C(VehBrand)[B6],-0.13810276693987547,0.09306065849177299,0.13780678328308404,-0.3204983059613321,0.04429277208158114,0.8710091761986163,0.7257872828193378,1.0452883413376592
C(VehPower)[11],0.10095484247445849,0.1848352210387932,0.5849364805924095,-0.2613155338360763,0.46322521878499323,1.106226686175661,0.7700379082628249,1.589191217829636
C(VehPower)[12],0.18753343830163538,0.18685508359996908,0.3155568062522853,-0.17869579588252493,0.5537626724857957,1.206270584386265,0.8363602849448811,1.73978696615356
C(VehPower)[13],-0.09711104860548776,0.19447499632966,0.6175329845403785,-0.47827503730518056,0.28405294009420506,0.9074552289000787,0.6198516911965846,1.3285032599788953
C(VehPower)[14],-0.5198114727046955,0.1971113261770237,0.008360667942152178,-0.9061425729565892,-0.13348037245280187,0.5946326418871556,0.40407993044399854,0.8750446437891128
C(VehPower)[15],-0.0014529846322000088,0.26157722613165185,0.9955680084976728,-0.5141349270261271,0.511228957761727,0.9985480704389081,0.5980176998691553,1.6673390255763818
C(VehPower)[4],-0.28704667149535956,0.11876529081627528,0.015652288544173443,-0.5198223641086848,-0.05427097888203439,0.7504767021497786,0.5946261655380959,0.947175407190392
C(VehPower)[5],-0.30576300426581626,0.11663621110678846,0.008754117095252534,-0.5343657773283322,-0.07716023120330026,0.7365611606255605,0.586040852700947,0.9257415090461596
