term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
C(VehPower)[14],-0.4940544326492565,0.13576735336911178,0.000273722018188316,-0.7601535555290384,-0.2279553097694747,0.6101475702380708,0.4675946197576376,0.7961598396071807
C(VehPower)[15],-0.3277685909991577,0.16585338296901647,0.04812589416106583,-0.6528352483325588,-0.0027019336657566617,0.7205297374811881,0.5205677436285359,0.9973017132716766
C(VehPower)[4],-0.07237360525143367,0.10006925456326367,0.46953540917323044,-0.2685057401552009,0.12375852965233357,0.930183309515985,0.764521034327865,1.1317425557333352
C(VehPower)[5],-0.17178141146095563,0.0948976543157362,0.07026857142468179,-0.3577773961371306,0.01421457321521935,0.8421632402826165,0.6992287086951375,1.0143160806524363
C(VehPower)[6],-0.0030077483139855647,0.09962434531453744,0.9759148086383835,-0.19826787711386062,0.1922523804858895,0.996996770429425,0.8201501242607568,1.2119763575511846
C(VehPower)[7],-0.025870542281209143,0.09624882155077581,0.7880927160327695,-0.21451476607515232,0.16277368151273405,0.9744612329717278,0.8069328964121383,1.17677033466707
C(VehPower)[8],-0.1300131770888005,0.10494919158211707,0.2154120964122943,-0.33570981279634415,0.07568345861874318,0.8780838602553268,0.7148305103884229,1.0786210919032193
C(VehPower)[9],-0.044127559890503196,0.11256111079533507,0.6950345534443294,-0.2647432831091826,0.17648816332817624,0.9568318963162342,0.767402929984916,1.1930203052861894
C(VehGas)[Regular],-0.011079934333339769,0.04011457289058376,0.7823889183541459,-0.08970305245409076,0.06754318378741121,0.9889812220610669,0.9142026151920544,1.0698764599179438
C(Region)[R21],0.5130287005260215,0.5309098163653375,0.3338841502767016,-0.5275354185888139,1.5535928196408568,1.6703425088612347,0.5900574236554893,4.728428090310476
C(Region)[R22],0.09137932352609407,0.2085651408075913,0.661289690627354,-0.31740084088731,0.5001594879394982,1.0956845453666486,0.7280388688834403,1.6489842428282828
C(Region)[R23],-0.10023273324914686,0.1363901337612124,0.4624020776814337,-0.3675524832677236,0.1670870167694299,0.9046268567869626,0.6924269850241499,1.1818571022209918
C(Region)[R24],0.07257546445632036,0.08261211324183892,0.37966769058281225,-0.08934130218442841,0.23449223109706913,1.0752739479923323,0.9145333880596059,1.2642666504327333
C(Region)[R25],-0.010736764770535541,0.20839330460421185,0.9589098587050837,-0.41918013641407575,0.3977066068730047,0.9893206685551844,0.6575857294628817,1.4884072773749633
C(Region)[R26],0.09851504488619911,0.176877509211039,0.5775495542919946,-0.248158502842589,0.4451885926149872,1.1035310067679147,0.7802362638108146,1.5607845205122188
C(Region)[R31],0.03262144691190803,0.10200584761371505,0.7491201197026345,-0.16730634062345448,0.23254923444727052,1.0331593595387902,0.8459404257222527,1.2618125694740923
C(Region)[R41],0.12078177247535109,0.15746078662300772,0.4430462147810379,-0.18783569828309032,0.4293992432337925,1.1283786422189008,0.8287508612365976,1.5363342830388649
C(Region)[R42],-0.40378999121750525,0.11096900377223967,0.0002739499399879719,-0.6212852420113844,-0.1862947404236261,0.6677843471217914,0.5372534929143639,0.8300289158510088
C(Region)[R43],-0.017707342391090154,0.3125679451348183,0.9548230655845515,-0.6303292575770256,0.5949145727948453,0.9824485113219964,0.5324164699870713,1.8128760694090564
C(Region)[R52],-0.11209712904316091,0.086288769666103,0.19391204535283446,-0.2812200098589951,0.05702575177267327,0.8939574240541758,0.754862240074565,1.0586830730102974
C(Region)[R53],0.07853838382395492,0.09538014971692824,0.4102664462598946,-0.10840327446126266,0.26548004210917253,1.081704874334907,0.8972656791259778,1.3040568277387714
