power,training_dispersion,validation_log_likelihood
1.1,68496.80405329315,-122514.97978092355
1.2,41921.18968503458,-74680.52785642067
1.3,25722.14479244674,-59021.259869343936
1.4,15822.417512885331,-51346.03060602612
1.5,9757.09696571929,-46844.81025491011
1.6,6031.749000523936,-43925.996295945326
1.7,3737.944035150659,-41919.049331090646
1.8,2322.0822900297126,-40515.52776901283
1.9,1445.9817900985154,-39679.61556085519
